team_id,league_name,league_id,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value
30,PKO BP Ekstraklasa,pl1,Piast Gliwice,/piast-gliwice/startseite/verein/6112/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6112.png?lm=1706715503,,28,26.3,€376k,€10.53m
31,PKO BP Ekstraklasa,pl1,Widzew Lodz,/widzew-lodz/startseite/verein/88/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/88.png?lm=1706715679,,28,25.5,€365k,€10.23m
32,PKO BP Ekstraklasa,pl1,Stal Mielec,/stal-mielec/startseite/verein/22431/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/22431.png?lm=1706715637,,28,26.0,€343k,€9.60m
33,PKO BP Ekstraklasa,pl1,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6110.png?lm=1444671585,,30,25.5,€301k,€9.03m
34,PKO BP Ekstraklasa,pl1,Motor Lublin,/motor-lublin/startseite/verein/3527/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3527.png?lm=1725368107,,29,26.0,€293k,€8.50m
35,PKO BP Ekstraklasa,pl1,Radomiak Radom,/radomiak-radom/startseite/verein/7154/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/7154.png?lm=1706715593,,28,26.5,€294k,€8.23m
36,PKO BP Ekstraklasa,pl1,GKS Katowice,/gks-katowice/startseite/verein/6456/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6456.png?lm=1722343694,,29,27.5,€279k,€8.10m
37,PKO BP Ekstraklasa,pl1,Puszcza Niepolomice,/puszcza-niepolomice/startseite/verein/28893/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/28893.png?lm=1706716644,,29,25.9,€264k,€7.65m
38,Trendyol TFF 1. League,tr2,Ankaragücü,/mke-ankaragucu/startseite/verein/868/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/868.png?lm=1582635029,,28,27.5,471 bin €,13.20 mil. €
39,Trendyol TFF 1. League,tr2,Fatih Karagümrük,/fatih-karagumruk/startseite/verein/6646/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6646.png?lm=1441625196,,29,24.3,380 bin €,11.03 mil. €
40,Trendyol TFF 1. League,tr2,İstanbulspor,/istanbulspor/startseite/verein/924/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/924.png?lm=1442723454,,29,24.8,352 bin €,10.20 mil. €
41,Trendyol TFF 1. League,tr2,Amed SK,/amed-sk/startseite/verein/12382/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/12382.png?lm=1442152631,,26,28.5,390 bin €,10.15 mil. €
42,Trendyol TFF 1. League,tr2,Kocaelispor,/kocaelispor/startseite/verein/120/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/120.png?lm=1441240820,,24,29.3,409 bin €,9.83 mil. €
43,Trendyol TFF 1. League,tr2,Bandırmaspor,/bandirmaspor/startseite/verein/20760/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/20760.png?lm=1441208133,,25,26.9,331 bin €,8.28 mil. €
44,Trendyol TFF 1. League,tr2,Boluspor,/boluspor/startseite/verein/3207/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3207.png?lm=1630348479,,30,26.5,260 bin €,7.80 mil. €
45,Trendyol TFF 1. League,tr2,Ümraniyespor,/umraniyespor/startseite/verein/24245/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/24245.png?lm=1441727881,,29,25.4,249 bin €,7.23 mil. €
46,Trendyol TFF 1. League,tr2,Erzurumspor FK,/buyuksehir-belediye-erzurumspor/startseite/verein/39722/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/39722.png?lm=1661508049,,33,26.9,214 bin €,7.08 mil. €
47,Trendyol TFF 1. League,tr2,Gençlerbirliği SK,/genclerbirligi-ankara/startseite/verein/820/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/820.png?lm=1721314834,,29,27.6,240 bin €,6.95 mil. €
48,Trendyol TFF 1. League,tr2,Ankara Keçiörengücü,/ankara-keciorengucu/startseite/verein/12388/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/12388.png?lm=1598890097,,26,26.6,255 bin €,6.63 mil. €
49,Trendyol TFF 1. League,tr2,Esenler Erokspor,/esenler-erokspor/startseite/verein/45269/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/45269.png?lm=1714859697,,25,28.5,261 bin €,6.53 mil. €
50,Trendyol TFF 1. League,tr2,Iğdır FK,/76-igdir-belediye-spor/startseite/verein/74664/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/74664.png?lm=1632618394,,30,27.7,210 bin €,6.30 mil. €
51,Trendyol TFF 1. League,tr2,Çorum FK,/corum-fk/startseite/verein/37951/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/37951.png?lm=1579901139,,28,28.1,218 bin €,6.10 mil. €
52,Trendyol TFF 1. League,tr2,Pendikspor,/pendikspor/startseite/verein/3209/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3209.png?lm=1420048508,,28,29.4,205 bin €,5.74 mil. €
53,Trendyol TFF 1. League,tr2,Manisa FK,/manisa-fk/startseite/verein/48913/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/48913.png?lm=1666348870,,30,24.3,181 bin €,5.44 mil. €
54,Trendyol TFF 1. League,tr2,Adanaspor,/adanaspor/startseite/verein/6/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6.png?lm=1442130460,,26,24.9,209 bin €,5.43 mil. €
55,Trendyol TFF 1. League,tr2,Sakaryaspor,/sakaryaspor/startseite/verein/2463/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2463.png?lm=1604757190,,32,26.9,143 bin €,4.58 mil. €
56,Trendyol TFF 1. League,tr2,Şanlıurfaspor,/sanliurfaspor/startseite/verein/6630/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6630.png?lm=1415443693,,28,25.6,142 bin €,3.98 mil. €
57,Trendyol TFF 1. League,tr2,Yeni Malatyaspor,/yeni-malatyaspor/startseite/verein/19789/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/19789.png?lm=1441755473,,27,21.7,35 bin €,950 bin €
